n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
180,-21.0,-21.0,-21.0,1018.3,13193.659
181,-21.0,-21.0,-21.0,1018.1,13183.488
182,-21.0,-21.0,-21.0,1018.05,13199.338
183,-21.0,-21.0,-21.0,1017.96,13207.803
184,-21.0,-21.0,-21.0,1018.4,13195.247
185,-21.0,-21.0,-21.0,1018.4,13205.361
186,-21.0,-21.0,-21.0,1018.51,13227.62
187,-21.0,-21.0,-21.0,1018.16,13233.62
188,-21.0,-21.0,-21.0,1018.83,13232.661
189,-21.0,-21.0,-21.0,1018.83,13238.433
190,-21.0,-21.0,-21.0,1018.83,13259.881
191,-21.0,-21.0,-21.0,1019.21,13277.067
192,-21.0,-21.0,-21.0,1019.21,13277.624
193,-21.0,-21.0,-21.0,1019.29,13267.775
194,-21.0,-21.0,-21.0,1019.0,13277.176
195,-21.0,-21.0,-21.0,1019.0,13277.0
196,-21.0,-21.0,-21.0,1019.64,13274.472
197,-21.0,-21.0,-21.0,1019.28,13279.905
198,-21.0,-21.0,-21.0,1019.22,13262.761
199,-21.0,-21.0,-21.0,1019.17,13262.816
200,-21.0,-21.0,-21.0,1019.17,13244.667
201,-21.0,-21.0,-21.0,1018.48,13242.296
202,-21.0,-21.0,-21.0,1018.68,13228.068
203,-21.0,-21.0,-21.0,1018.8,13233.667
204,-21.0,-21.0,-21.0,1019.23,13229.737
205,-21.0,-21.0,-21.0,1019.23,13224.969
206,-21.0,-21.0,-21.0,1019.03,13213.506
207,-21.0,-21.0,-21.0,1019.24,13197.455
208,-21.0,-21.0,-21.0,1019.2,13207.305
209,-21.0,-21.0,-21.0,1018.71,13197.301
210,-21.0,-21.0,-21.0,1018.71,13197.368
211,-21.0,-21.0,-21.0,1018.47,13189.137
212,-21.0,-21.0,-21.0,1018.19,13190.122
213,-21.0,-21.0,-21.0,1018.42,13196.296
214,-21.0,-21.0,-21.0,1018.27,13189.17
