n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
180,-21.0,-16.99,-13.0,1804.03,14045.108
181,-21.0,-16.99,-13.0,1804.03,14045.652
182,-21.0,-16.93,-13.0,1815.95,14048.106
183,-21.0,-16.92,-13.0,1817.72,14055.573
184,-21.0,-16.9,-13.0,1821.98,14065.027
185,-21.0,-16.93,-13.0,1817.96,14067.8
186,-21.0,-16.97,-13.0,1819.4,14072.772
187,-21.0,-16.97,-13.0,1817.73,14071.4
188,-21.0,-16.93,-13.0,1822.79,14082.716
189,-21.0,-16.93,-13.0,1825.26,14079.531
190,-21.0,-16.92,-13.0,1829.63,14078.293
191,-21.0,-16.95,-13.0,1826.44,14083.54
192,-21.0,-16.98,-13.0,1829.29,14084.372
193,-20.0,-16.94,-13.0,1835.9,14082.959
194,-20.0,-16.99,-13.0,1833.24,14086.525
195,-20.0,-16.97,-13.0,1839.44,14090.678
196,-20.0,-16.9,-10.0,1846.89,14089.246
197,-20.0,-16.85,-10.0,1854.36,14090.005
198,-20.0,-16.85,-10.0,1857.09,14088.751
199,-20.0,-16.85,-10.0,1857.09,14092.29
200,-20.0,-16.76,-10.0,1870.52,14093.984
201,-20.0,-16.63,-10.0,1891.14,14091.942
202,-20.0,-16.63,-10.0,1891.14,14093.683
203,-20.0,-16.58,-10.0,1900.26,14082.766
204,-20.0,-16.51,-10.0,1906.15,14072.42
205,-20.0,-16.52,-10.0,1904.75,14066.358
206,-20.0,-16.56,-10.0,1900.76,14061.795
207,-20.0,-16.54,-10.0,1904.5,14060.936
208,-20.0,-16.51,-10.0,1908.85,14058.134
209,-20.0,-16.46,-10.0,1915.1,14060.717
210,-20.0,-16.45,-10.0,1917.66,14055.68
211,-20.0,-16.43,-10.0,1919.27,14055.66
212,-20.0,-16.42,-10.0,1916.32,14046.574
213,-20.0,-16.41,-10.0,1914.65,14051.612
214,-20.0,-16.36,-10.0,1918.46,14057.244
215,-20.0,-16.36,-10.0,1918.46,14060.883
216,-20.0,-16.3,-10.0,1928.31,14062.418
217,-20.0,-16.33,-10.0,1927.01,14061.161
218,-20.0,-16.32,-10.0,1926.37,14062.536
219,-20.0,-16.34,-10.0,1924.35,14066.45
220,-20.0,-16.29,-10.0,1928.66,14077.954
221,-20.0,-16.37,-10.0,1918.47,14078.862
222,-20.0,-16.4,-10.0,1914.29,14081.05
223,-20.0,-16.47,-10.0,1911.79,14084.605
224,-20.0,-16.49,-10.0,1910.22,14085.008
225,-20.0,-16.46,-10.0,1913.32,14085.27
226,-20.0,-16.45,-10.0,1915.99,14086.585
227,-20.0,-16.47,-10.0,1915.43,14087.303
228,-20.0,-16.51,-10.0,1911.1,14089.658
229,-20.0,-16.55,-10.0,1905.22,14083.698
230,-20.0,-16.61,-10.0,1895.9,14075.834
231,-20.0,-16.51,-10.0,1896.29,14082.92
232,-20.0,-16.47,-10.0,1901.68,14081.889
233,-20.0,-16.45,-10.0,1905.23,14087.921
234,-20.0,-16.42,-10.0,1907.26,14079.778
235,-20.0,-16.46,-10.0,1905.76,14071.355
236,-19.0,-16.45,-11.0,1908.43,14070.596
237,-19.0,-16.43,-11.0,1909.86,14074.302
238,-19.0,-16.5,-11.0,1902.44,14069.924
239,-19.0,-16.48,-11.0,1902.84,14069.792
240,-19.0,-16.56,-11.0,1900.98,14069.97
241,-19.0,-16.58,-11.0,1895.46,14058.393
242,-19.0,-16.57,-11.0,1896.93,14059.941
243,-19.0,-16.68,-12.0,1888.52,14057.349
244,-19.0,-16.64,-12.0,1896.12,14063.956
245,-19.0,-16.54,-12.0,1909.06,14081.58
246,-19.0,-16.55,-12.0,1910.65,14079.178
247,-19.0,-16.66,-12.0,1899.72,14068.046
248,-19.0,-16.64,-12.0,1902.08,14075.396
249,-19.0,-16.67,-12.0,1898.52,14073.454
250,-19.0,-16.63,-12.0,1904.3,14074.51
251,-19.0,-16.62,-12.0,1905.58,14072.588
252,-19.0,-16.57,-12.0,1914.59,14067.532
253,-19.0,-16.53,-12.0,1919.89,14068.046
254,-19.0,-16.5,-12.0,1929.38,14067.136
255,-19.0,-16.48,-12.0,1930.88,14058.86
256,-19.0,-16.51,-12.0,1924.57,14062.336
257,-19.0,-16.54,-12.0,1919.45,14072.179
258,-19.0,-16.45,-12.0,1930.27,14067.844
259,-19.0,-16.5,-13.0,1925.72,14079.019
260,-19.0,-16.46,-12.0,1932.76,14078.091
261,-19.0,-16.44,-12.0,1936.64,14075.239
262,-19.0,-16.44,-12.0,1936.64,14078.855
263,-19.0,-16.35,-12.0,1949.55,14079.337
264,-19.0,-16.37,-12.0,1945.72,14073.853
265,-19.0,-16.3,-12.0,1953.41,14065.423
266,-19.0,-16.32,-12.0,1946.95,14062.243
267,-19.0,-16.27,-12.0,1950.71,14074.531
268,-19.0,-16.24,-12.0,1956.53,14070.878
269,-19.0,-16.2,-12.0,1959.32,14064.967
270,-19.0,-16.19,-12.0,1959.65,14065.058
271,-19.0,-16.21,-12.0,1957.57,14074.657
272,-19.0,-16.25,-12.0,1955.08,14074.387
273,-19.0,-16.27,-12.0,1954.63,14074.398
274,-19.0,-16.23,-12.0,1962.63,14083.328
275,-19.0,-16.23,-12.0,1961.26,14095.019
276,-19.0,-16.27,-12.0,1959.02,14094.628
277,-19.0,-16.27,-12.0,1961.32,14087.937
278,-19.0,-16.28,-12.0,1962.24,14094.676
279,-19.0,-16.22,-12.0,1969.15,14088.327
280,-19.0,-16.23,-12.0,1967.16,14081.508
281,-19.0,-16.23,-12.0,1963.67,14083.331
282,-19.0,-16.17,-12.0,1973.35,14093.792
283,-19.0,-16.18,-12.0,1981.19,14087.311
284,-19.0,-16.15,-12.0,1985.45,14089.395
285,-19.0,-16.13,-12.0,1989.23,14086.667
286,-19.0,-16.24,-12.0,1976.85,14087.116
287,-19.0,-16.21,-12.0,1981.5,14083.068
288,-19.0,-16.19,-12.0,1984.51,14082.945
289,-19.0,-16.23,-12.0,1986.32,14083.12
290,-19.0,-16.23,-12.0,1986.32,14089.921
