n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
219,-21.0,-19.19,-15.0,1754.64,16959.185
220,-21.0,-19.18,-15.0,1756.34,16941.195
221,-21.0,-19.21,-15.0,1757.96,16929.755
222,-21.0,-19.23,-15.0,1755.79,16930.487
223,-21.0,-19.25,-15.0,1756.71,16947.704
224,-21.0,-19.26,-15.0,1755.31,16972.049
225,-21.0,-19.3,-15.0,1752.93,16996.342
226,-21.0,-19.3,-15.0,1751.81,17009.314
227,-21.0,-19.27,-15.0,1752.92,17023.07
228,-21.0,-19.25,-15.0,1749.72,17028.617
229,-21.0,-19.19,-15.0,1754.36,17021.206
230,-21.0,-19.21,-15.0,1754.56,17028.317
231,-21.0,-19.12,-15.0,1763.92,17035.019
232,-21.0,-19.12,-15.0,1764.31,17013.765
233,-21.0,-19.1,-15.0,1764.37,17002.532
234,-21.0,-19.13,-15.0,1755.15,16981.451
235,-21.0,-19.16,-15.0,1757.47,16957.483
236,-21.0,-19.18,-15.0,1760.46,16948.65
237,-21.0,-19.15,-15.0,1757.3,16934.622
238,-21.0,-19.14,-15.0,1757.28,16929.445
239,-21.0,-19.13,-15.0,1761.25,16932.24
240,-21.0,-19.06,-15.0,1763.1,16939.742
241,-21.0,-19.04,-15.0,1763.61,16938.429
242,-21.0,-19.03,-15.0,1759.67,16940.455
243,-21.0,-18.98,-15.0,1768.1,16963.182
244,-21.0,-18.93,-15.0,1777.34,16992.12
245,-21.0,-18.83,-15.0,1788.6,17034.537
246,-21.0,-18.81,-15.0,1786.1,17058.958
247,-21.0,-18.81,-15.0,1788.07,17111.435
248,-21.0,-18.86,-15.0,1782.28,17133.942
249,-21.0,-18.9,-15.0,1778.65,17129.722
250,-21.0,-18.86,-15.0,1782.12,17123.223
251,-21.0,-18.9,-15.0,1782.86,17146.943
252,-21.0,-18.88,-15.0,1784.17,17164.715
253,-21.0,-18.94,-15.0,1792.05,17173.79
254,-21.0,-18.91,-15.0,1792.93,17166.124
255,-21.0,-18.91,-15.0,1792.89,17132.079
256,-21.0,-18.9,-15.0,1795.0,17122.083
257,-21.0,-18.86,-15.0,1800.29,17095.981
258,-21.0,-18.9,-15.0,1793.27,17089.427
259,-21.0,-18.89,-15.0,1798.42,17092.793
260,-21.0,-18.83,-15.0,1803.72,17105.183
261,-21.0,-18.84,-15.0,1802.46,17093.796
262,-21.0,-18.84,-15.0,1804.15,17082.819
263,-21.0,-18.82,-15.0,1807.25,17066.284
264,-21.0,-18.77,-15.0,1810.91,17055.144
265,-21.0,-18.78,-15.0,1810.61,17051.319
266,-21.0,-18.86,-15.0,1804.96,17062.743
267,-21.0,-18.76,-15.0,1812.17,17051.019
268,-21.0,-18.72,-15.0,1809.74,17036.969
269,-21.0,-18.72,-15.0,1807.97,17031.686
270,-21.0,-18.73,-15.0,1811.19,17025.1
271,-21.0,-18.73,-15.0,1812.38,17036.371
272,-21.0,-18.72,-15.0,1814.93,17078.136
273,-21.0,-18.67,-15.0,1813.19,17111.99
274,-21.0,-18.7,-15.0,1811.94,17127.976
275,-21.0,-18.73,-15.0,1813.17,17127.73
276,-21.0,-18.7,-15.0,1820.01,17096.597
277,-21.0,-18.66,-15.0,1820.63,17089.913
278,-21.0,-18.67,-15.0,1823.27,17101.6
279,-21.0,-18.76,-15.0,1815.1,17125.276
280,-21.0,-18.72,-15.0,1820.67,17161.174
281,-21.0,-18.74,-15.0,1817.32,17166.254
282,-21.0,-18.81,-15.0,1816.62,17166.439
283,-21.0,-18.86,-15.0,1817.96,17147.291
284,-21.0,-18.87,-15.0,1815.71,17140.589
285,-21.0,-18.81,-15.0,1826.08,17119.963
286,-21.0,-18.78,-15.0,1830.89,17130.272
287,-21.0,-18.79,-15.0,1827.51,17165.012
288,-21.0,-18.8,-15.0,1827.48,17192.018
289,-21.0,-18.79,-15.0,1824.25,17193.678
290,-21.0,-18.76,-14.0,1830.02,17169.902
291,-21.0,-18.72,-14.0,1829.1,17159.446
292,-21.0,-18.74,-14.0,1828.98,17147.734
293,-21.0,-18.76,-14.0,1833.05,17134.636
294,-21.0,-18.77,-14.0,1834.63,17123.59
295,-21.0,-18.81,-14.0,1834.19,17121.897
296,-21.0,-18.75,-14.0,1841.99,17116.582
297,-21.0,-18.72,-14.0,1846.96,17091.811
298,-21.0,-18.67,-14.0,1854.15,17059.011
299,-21.0,-18.67,-14.0,1851.87,17036.954
300,-21.0,-18.69,-14.0,1847.76,17023.793
301,-21.0,-18.7,-14.0,1843.73,17012.024
302,-21.0,-18.74,-14.0,1838.48,16975.319
303,-21.0,-18.71,-14.0,1844.53,16965.918
304,-21.0,-18.65,-14.0,1852.02,16954.179
305,-21.0,-18.68,-14.0,1853.56,16956.644
306,-21.0,-18.72,-14.0,1847.15,16978.446
307,-21.0,-18.72,-14.0,1847.79,16964.84
308,-21.0,-18.73,-14.0,1847.09,16991.529
309,-21.0,-18.7,-14.0,1851.04,17016.365
310,-21.0,-18.68,-14.0,1856.1,17023.009
311,-21.0,-18.68,-14.0,1859.42,17025.059
312,-21.0,-18.69,-14.0,1862.23,17028.187
313,-21.0,-18.63,-14.0,1861.29,17021.445
314,-21.0,-18.63,-14.0,1861.55,17024.891
315,-21.0,-18.59,-14.0,1864.87,17034.284
316,-21.0,-18.58,-14.0,1867.85,17030.901
317,-21.0,-18.6,-14.0,1863.69,17033.704
318,-21.0,-18.57,-14.0,1870.77,17003.723
319,-21.0,-18.57,-14.0,1869.52,16979.586
320,-21.0,-18.6,-14.0,1874.55,16988.603
321,-21.0,-18.55,-14.0,1879.61,17002.51
322,-21.0,-18.53,-14.0,1884.67,17027.25
323,-21.0,-18.51,-14.0,1886.49,17054.353
324,-21.0,-18.55,-14.0,1876.29,17076.052
325,-21.0,-18.51,-14.0,1888.55,17088.754
326,-21.0,-18.57,-14.0,1884.86,17069.743
327,-21.0,-18.55,-14.0,1886.44,17065.408
328,-21.0,-18.51,-14.0,1894.04,17061.516
329,-21.0,-18.55,-14.0,1884.79,17066.235
330,-21.0,-18.56,-14.0,1887.16,17049.693
331,-21.0,-18.55,-14.0,1885.14,17032.003
332,-21.0,-18.57,-14.0,1878.8,16991.24
333,-21.0,-18.55,-14.0,1882.93,16970.341
334,-21.0,-18.54,-14.0,1885.53,16948.217
335,-21.0,-18.56,-14.0,1882.59,16937.616
336,-21.0,-18.56,-14.0,1879.61,16940.041
337,-21.0,-18.61,-14.0,1874.38,16947.048
338,-21.0,-18.61,-15.0,1878.12,16976.866
339,-21.0,-18.54,-14.0,1892.62,16979.876
340,-21.0,-18.53,-14.0,1897.99,16980.303
341,-21.0,-18.52,-14.0,1903.38,16983.621
342,-21.0,-18.56,-14.0,1908.34,16993.746
343,-21.0,-18.57,-14.0,1905.72,16990.543
344,-21.0,-18.56,-14.0,1909.3,16984.899
345,-21.0,-18.5,-14.0,1915.88,16975.704
346,-21.0,-18.52,-14.0,1917.59,16977.079
347,-21.0,-18.5,-14.0,1920.58,16970.971
348,-21.0,-18.52,-14.0,1915.63,16928.119
349,-21.0,-18.5,-14.0,1920.85,16917.972
350,-21.0,-18.52,-14.0,1911.68,16919.17
351,-21.0,-18.47,-14.0,1912.19,16908.326
352,-21.0,-18.51,-14.0,1913.92,16908.789
353,-21.0,-18.47,-14.0,1918.67,16922.512
354,-21.0,-18.57,-14.0,1909.46,16925.253
355,-21.0,-18.59,-14.0,1910.54,16921.405
356,-21.0,-18.62,-14.0,1908.45,16918.877
357,-21.0,-18.63,-14.0,1907.12,16915.959
358,-21.0,-18.64,-14.0,1902.76,16942.245
359,-21.0,-18.63,-14.0,1895.41,16946.107
360,-21.0,-18.66,-14.0,1890.46,16964.127
361,-21.0,-18.68,-14.0,1884.6,16964.04
362,-21.0,-18.68,-14.0,1880.15,16988.177
363,-21.0,-18.66,-14.0,1883.08,16978.605
364,-21.0,-18.61,-14.0,1883.82,16969.133
365,-21.0,-18.57,-14.0,1888.54,16963.784
366,-21.0,-18.58,-14.0,1891.07,16973.315
367,-21.0,-18.58,-14.0,1893.05,16968.938
368,-21.0,-18.57,-14.0,1898.52,16957.056
369,-21.0,-18.56,-14.0,1899.35,16960.129
370,-21.0,-18.56,-14.0,1901.52,16948.795
371,-21.0,-18.57,-14.0,1902.96,16965.353
372,-21.0,-18.57,-14.0,1899.62,16955.281
373,-21.0,-18.59,-14.0,1897.4,16937.003
374,-21.0,-18.68,-14.0,1888.19,16943.094
375,-21.0,-18.67,-14.0,1889.06,16970.32
376,-21.0,-18.66,-14.0,1889.68,16959.527
377,-21.0,-18.65,-14.0,1897.39,16977.196
378,-21.0,-18.71,-15.0,1880.6,16989.172
379,-21.0,-18.71,-15.0,1880.6,16983.076
380,-21.0,-18.66,-14.0,1885.66,16978.688
381,-21.0,-18.65,-14.0,1888.28,16970.012
382,-21.0,-18.66,-14.0,1886.92,16951.856
383,-21.0,-18.68,-14.0,1880.26,16972.649
384,-21.0,-18.79,-14.0,1881.52,16991.162
385,-21.0,-18.8,-14.0,1884.3,16970.118
386,-21.0,-18.81,-14.0,1884.4,16995.269
387,-21.0,-18.75,-14.0,1899.08,17006.777
388,-21.0,-18.74,-14.0,1902.37,17003.947
389,-21.0,-18.74,-14.0,1902.37,17028.463
390,-21.0,-18.74,-14.0,1904.58,17044.204
391,-21.0,-18.76,-14.0,1905.62,17060.683
392,-21.0,-18.76,-14.0,1905.62,17082.118
393,-21.0,-18.79,-14.0,1897.83,17101.932
394,-21.0,-18.71,-14.0,1906.55,17112.016
395,-21.0,-18.66,-14.0,1913.73,17149.517
396,-21.0,-18.63,-14.0,1923.91,17182.761
397,-21.0,-18.6,-14.0,1928.04,17198.862
398,-21.0,-18.55,-14.0,1932.05,17214.077
399,-21.0,-18.53,-14.0,1948.85,17220.767
400,-21.0,-18.53,-14.0,1948.94,17219.833
401,-21.0,-18.52,-14.0,1951.45,17234.384
402,-21.0,-18.53,-14.0,1957.95,17238.932
403,-21.0,-18.57,-14.0,1962.01,17226.666
404,-21.0,-18.61,-14.0,1964.07,17224.803
405,-21.0,-18.6,-14.0,1966.81,17229.024
406,-21.0,-18.64,-14.0,1959.19,17163.8
407,-21.0,-18.65,-14.0,1958.44,17127.046
408,-21.0,-18.65,-14.0,1960.44,17099.239
409,-21.0,-18.64,-14.0,1963.27,17107.612
410,-21.0,-18.67,-14.0,1962.02,17109.178
411,-21.0,-18.64,-14.0,1968.04,17103.265
412,-21.0,-18.62,-14.0,1967.89,17104.075
413,-21.0,-18.6,-14.0,1969.58,17091.576
414,-21.0,-18.61,-14.0,1967.75,17050.639
415,-21.0,-18.58,-14.0,1978.49,17015.788
416,-21.0,-18.51,-14.0,1988.64,17048.927
417,-21.0,-18.5,-14.0,1990.72,17061.648
418,-21.0,-18.51,-14.0,1986.13,17084.18
419,-21.0,-18.51,-14.0,1990.11,17058.846
420,-21.0,-18.46,-14.0,2003.4,17028.661
421,-21.0,-18.49,-14.0,2000.28,17016.896
422,-21.0,-18.44,-14.0,1999.72,17009.764
423,-21.0,-18.43,-14.0,1999.74,17005.259
424,-21.0,-18.39,-14.0,2005.68,17021.977
425,-21.0,-18.37,-14.0,1998.65,17016.44
426,-21.0,-18.35,-14.0,1996.03,17002.862
427,-21.0,-18.35,-14.0,1996.03,16986.272
428,-21.0,-18.34,-14.0,1997.76,16967.756
429,-21.0,-18.39,-14.0,1994.46,16969.028
430,-21.0,-18.43,-14.0,1989.62,16995.931
431,-21.0,-18.42,-14.0,1991.81,17028.395
432,-21.0,-18.31,-14.0,2002.13,17063.63
433,-21.0,-18.3,-14.0,2005.11,17096.649
434,-21.0,-18.27,-14.0,2005.93,17096.5
435,-21.0,-18.21,-14.0,2018.28,17108.491
436,-21.0,-18.24,-14.0,2019.08,17104.938
437,-21.0,-18.3,-14.0,2016.34,17112.521
438,-21.0,-18.27,-14.0,2014.71,17120.911
439,-21.0,-18.24,-14.0,2025.34,17091.588
440,-21.0,-18.33,-14.0,2022.98,17072.756
441,-21.0,-18.32,-14.0,2018.42,17012.068
442,-21.0,-18.27,-14.0,2023.21,16967.677
443,-21.0,-18.2,-14.0,2030.25,16934.576
444,-21.0,-18.21,-14.0,2031.9,16939.773
445,-21.0,-18.21,-14.0,2034.38,16941.982
446,-21.0,-18.21,-14.0,2028.79,16940.112
447,-21.0,-18.2,-14.0,2031.68,16934.612
448,-21.0,-18.13,-14.0,2038.04,16929.644
449,-21.0,-18.12,-14.0,2039.15,16960.932
450,-21.0,-18.13,-14.0,2042.67,16965.079
451,-21.0,-18.13,-14.0,2040.57,16978.712
452,-21.0,-18.15,-14.0,2041.51,16991.532
453,-21.0,-18.17,-14.0,2039.42,16997.715
454,-21.0,-18.19,-14.0,2045.23,16986.981
455,-21.0,-18.16,-14.0,2051.45,16980.985
456,-21.0,-18.08,-14.0,2062.31,16966.555
457,-21.0,-18.09,-14.0,2057.52,16970.825
458,-21.0,-18.13,-14.0,2051.8,17003.131
459,-21.0,-18.14,-14.0,2047.88,17007.489
460,-21.0,-18.11,-14.0,2050.7,17018.072
